,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1128,1-Mar-21,,4920,2,2,1029084,1,12.965998,1,Whitefield,77.757559,Sree Developers,17-Nov-20,5549760,Sree Samruddhi,,,,
1,1264,0,2,6252,1,2,145599,1,13.04384,,Old Madras Road,77.747955,Salarpuria Properties Pvt Ltd,17-Nov-20,7868015,Salarpuria Sattva East Crest,,,,
2,1271,1-Apr-21,,5489,3,3,11582,0,13.096476,,Hennur Road,77.647831,Kolte-Patil Developers Ltd,27-Oct-20,6977475,Kolte Patil Raaga,,,,
3,938,1-Apr-21,,5603,2,2,11582,0,13.096476,,Hennur Road,77.647831,Kolte-Patil Developers Ltd,27-Oct-20,5255865,Kolte Patil Raaga,,,,
4,1904,0,2,6271,3,3,45096,1,13.083073,1,Hennur Road,77.654397,Salarpuria Properties Pvt Ltd,17-Nov-20,11940904,Salarpuria Sattva Aspire,,,,
5,1607,0,2,4221,3,3,413931,1,12.90565,1,Kengeri,77.47755,Uniworth Finvest Pvt Ltd,17-Nov-20,6783147,Uniworth Serenity,Kengeri,4.71,1.666666667,3.922222222
6,1343.43,1-Dec-20,1,8117,2,2,803121,1,12.934122,1,Kadubeesanahalli,77.698826,Amsha Ventures,12-Nov-20,10901131,Bhuvi by Amsha,,,,
7,1734.86,1-Dec-20,1,8117,3,3,803121,1,12.934122,1,Kadubeesanahalli,77.698826,Amsha Ventures,13-Oct-20,14082995,Bhuvi by Amsha,,,,
8,1578,1-Dec-20,,5171,,3,478156,0,12.8672,,Hosa Road,77.690363,T G Developers,2-Nov-20,8116395,TG Ascent,,,,
9,1240,1-Dec-20,,5273,,2,478156,0,12.8672,,Hosa Road,77.690363,T G Developers,2-Nov-20,6501600,TG Ascent,,,,
10,2387,0,,14209,,3,40548,0,12.995517,,Frazer Town,77.610564,Prestige Group,17-Nov-20,33918000,Prestige Spencer Heights,,,,
11,944,1-Dec-21,1,5854,2,2,793710,1,13.083176,1,Thanisandra,77.619418,Provident Housing Ltd,2-Nov-20,5527120,Provident Toogoodhomes,,,,
12,1691,1-Jul-23,2,5677,3,3,379993,1,12.84959,1,Electronic City,77.67008,Kolte-Patil Developers Ltd,29-Oct-20,8005194,Kolte Patil I Towers Exente,,,,
13,1233,1-Jul-23,1,5839,2,2,379993,1,12.84959,1,Electronic City,77.67008,Kolte-Patil Developers Ltd,29-Oct-20,7200000,Kolte Patil I Towers Exente,,,,
14,2848,1-Sep-23,,11409,,3,1047891,0,12.980894,,CV Raman Nagar,77.662696,Prestige Group,17-Nov-20,32328000,Prestige Rapperswil,CV Raman Nagar,4.28,1.888888889,3.822222222
15,4465,0,5,14787,5,4,6556,1,13.01762,1,Malleshwaram,77.558076,Salarpuria Properties Pvt Ltd,17-Nov-20,67023525,Salarpuria Sattva Luxuria,Yeshwantpur,4.37,2.222222222,4.133333333
16,4075,0,,10242,4,4,46280,0,12.996184,,Old Madras Road,77.669383,Salarpuria Properties Pvt Ltd,2-Nov-20,40495500,Salarpuria Sattva Magnificia,,,,
17,2475,0,3,14682,4,3,6556,1,13.01762,1,Malleshwaram,77.558076,Salarpuria Properties Pvt Ltd,17-Nov-20,36562875,Salarpuria Sattva Luxuria,Yeshwantpur,4.37,2.222222222,4.133333333
