,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1015,1-Mar-21,,7500,,2,1041722,0,12.99002,,Adambakkam,80.203512,AceserTech Private Limited,16-Nov-20,7612500,Athreyas Annapoorni,Adambakkam,4.73,1.444444444,3.911111111
1,1421,1-Sep-21,,5400,,2,496667,0,13.083122,,Nolambur,80.160945,Casagrand Builder Private Limited,16-Nov-20,7673400,Casagrand Crescendo,Mogappair,4.79,1.777777778,3.833333333
2,1735,1-Jun-22,,8299,,2,1013258,0,12.970183,,Perungudi,80.249807,Appaswamy Real Estate,16-Nov-20,14398765,Appaswamy Altezza,Perungudi,4.83,2.222222222,4.1
3,2269,1-Jun-22,,8299,,3,1013258,0,12.970183,,Perungudi,80.249807,Appaswamy Real Estate,3-Nov-20,18830431,Appaswamy Altezza,Perungudi,4.83,2.222222222,4.1
4,942,0,1,17750,2,2,95134,1,12.996676,1,Adyar,80.254938,NAVIN HOUSING & PROPERTIES (P) LTD,13-Nov-20,16720500,Navin Septem,Thiruvanmiyur,5,2.333333333,4.188888889
5,1480,0,3,6072,3,3,36140,1,13.131774,1,Moolakadai,80.241229,NAVIN HOUSING & PROPERTIES (P) LTD,11-Nov-20,8986560,Navins Whiteberry,Perambur,3.2,1.111111111,3.822222222
6,1269,0,,4500,2,2,56122,1,12.968266,1,Pammal,80.129825,Appaswamy Real Estate,19-Aug-20,5710500,Appaswamy The Bloomingdale,Pallavaram,4.45,1.888888889,4
7,1345,1-Sep-21,,4499,3,3,1047704,0,13.108292,,Ambattur,80.159248,GP Homes Private Limited,5-Oct-20,6051155,GP Fern Breeze,Ambattur,4.69,1.333333333,3.877777778
8,2581,1-Oct-20,3,5500,4,4,503639,1,12.875688,1,Semmenchery,80.226556,Appaswamy Real Estate,6-Oct-20,14195500,Appaswamy Splendour,Old Mahabalipuram Road (OMR),4.55,2.555555556,4.011111111
9,912,1-Aug-21,,5496,,2,1042495,0,13.121278,,Korattur,80.189194,GP Homes Private Limited,8-Oct-20,5015088,GP Imperial,Ambattur,4.69,1.333333333,3.877777778
10,1470,1-Oct-20,1,5500,2,2,503639,1,12.875688,1,Semmenchery,80.226556,Appaswamy Real Estate,16-Nov-20,8085000,Appaswamy Splendour,Old Mahabalipuram Road (OMR),4.55,2.555555556,4.011111111
11,2418,1-Oct-20,2,5500,3,3,503639,1,12.875688,1,Semmenchery,80.226556,Appaswamy Real Estate,6-Oct-20,13299000,Appaswamy Splendour,Old Mahabalipuram Road (OMR),4.55,2.555555556,4.011111111
12,1517,0,1,11300,2,3,453695,1,13.050222,1,Vadapalani,80.211575,Appaswamy Real Estate,16-Nov-20,17142100,Appaswamy Trellis,Vadapalani,4.98,2.666666667,4.088888889
