,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1820,1-Apr-22,2,5300,3,3,869036,1,17.3974478,1,Kokapet,78.3326142,GEM VIVENDAS,15-Nov-20,9646000,Gem Nakshathra,Gandipet,2.51,2.555555556,3.744444444
1,1339.890272,1-Dec-23,,5789,,2,1044842,0,17.403598,,Manikonda,78.38975,HOUSZ BUILDTECH LLP,15-Nov-20,7758600,Ambience Courtyard,Manikonda,4.75,1.444444444,3.855555556
2,1910,1-Sep-22,,4700,,3,1044923,0,17.512305,,Yapral,78.532584,GK Developers,11-Nov-20,8977000,GK S Zenith,Yapral,2.73,1.666666667,3.522222222
3,1220,1-Sep-22,,4700,,2,1044923,0,17.512305,,Yapral,78.532584,GK Developers,11-Nov-20,5734000,GK S Zenith,Yapral,2.73,1.666666667,3.522222222
4,2063,1-Dec-22,,5199,,3,1042876,0,17.3828053,,Narsingi,78.3437872,Hallmark Projects,29-Oct-20,10725537,Hallmark Sunnyside,Gandipet,2.51,2.555555556,3.744444444
5,2451,1-Jun-23,,5800,3,3,1037309,0,17.481341,,Kondapur,78.344801,GHR Infra,2-Nov-20,14215800,GHR Titania,Miyapur,4.41,1.555555556,3.7
6,3000,1-Dec-22,,6799,4,4,7472,0,17.467768,,Hi-Tech City,78.408147,Cyber Homes,29-Oct-20,20397000,Rainbow Vistas at Rock Garden,Moosapet,4.07,1.666666667,3.966666667
7,2010,1-Jun-22,1,6100,3,3,765566,1,17.40458,1,Manikonda,78.373385,VAZHRAA NIRMAAN PRIVATE LIMITED,30-Oct-20,12261000,Vazhraa Vihhari,Manikonda,4.75,1.444444444,3.855555556
8,1435,1-Jun-22,1,6100,2,2,765566,1,17.40458,1,Manikonda,78.373385,VAZHRAA NIRMAAN PRIVATE LIMITED,30-Oct-20,8753500,Vazhraa Vihhari,Manikonda,4.75,1.444444444,3.855555556
9,2500,1-Dec-22,,6799,3,3,7472,0,17.467768,,Hi-Tech City,78.408147,Cyber Homes,29-Oct-20,16997500,Rainbow Vistas at Rock Garden,Moosapet,4.07,1.666666667,3.966666667
10,1250,1-Dec-22,,5199,,2,1042876,0,17.3828053,,Narsingi,78.3437872,Hallmark Projects,29-Oct-20,6498750,Hallmark Sunnyside,Gandipet,2.51,2.555555556,3.744444444
11,1820,1-Jun-22,1,5100,3,3,774848,1,17.51485,1,Nizampet,78.385716,VAZHRAA NIRMAAN PRIVATE LIMITED,12-Nov-20,9282000,Vazhraa Prathik,Nizampet,4.99,1.555555556,4.1
12,1306,1-Mar-23,,3499,,2,1045317,0,17.489243,,Kollur,78.234072,Hallmark Projects,29-Oct-20,4569694,Hallmark Vesta,Lingampally,4.41,1.555555556,3.7
13,1284,1-Jun-23,,5800,2,2,1037309,0,17.481341,,Kondapur,78.344801,GHR Infra,2-Nov-20,7447200,GHR Titania,Miyapur,4.41,1.555555556,3.7
14,1706,1-Mar-23,,3499,,3,1045317,0,17.489243,,Kollur,78.234072,Hallmark Projects,29-Oct-20,5969294,Hallmark Vesta,Lingampally,4.41,1.555555556,3.7
15,1915,1-Mar-23,1,4500,3,3,1036833,1,17.337923,1,Kismathpur,78.381728,ELITE Constructions,15-Nov-20,8617500,Meenazi Elite,Langer Houz,3.75,1.444444444,3.688888889
16,1350,1-Jun-22,1,5100,2,2,774848,1,17.51485,1,Nizampet,78.385716,VAZHRAA NIRMAAN PRIVATE LIMITED,29-Oct-20,6885000,Vazhraa Prathik,Nizampet,4.99,1.555555556,4.1
17,2435,1-Aug-21,,4500,3,3,27392,1,17.453725,1,Tellapur,78.290418,Ananda Homes,13-Nov-20,10957500,Aryamitra The Ozone Heights,Lingampally,4.41,1.555555556,3.7
18,1310,1-Mar-23,1,4500,2,2,1036833,1,17.337923,1,Kismathpur,78.381728,ELITE Constructions,15-Nov-20,5895000,Meenazi Elite,Langer Houz,3.75,1.444444444,3.688888889
19,1654,1-Feb-25,,5550,3,3,1010322,0,17.494875,,Chandanagar,78.32666,SHARVANI Ventures and Avenues Pvt. Ltd,29-Oct-20,9179700,Sharvani Sree Hemadurga Paradise,Chanda Nagar,4.63,1.555555556,3.911111111
20,1377,1-Feb-25,,5550,2,2,1010322,0,17.494875,,Chandanagar,78.32666,SHARVANI Ventures and Avenues Pvt. Ltd,29-Oct-20,7642350,Sharvani Sree Hemadurga Paradise,Chanda Nagar,4.63,1.555555556,3.911111111
21,2340,1-Dec-21,3,6699,5,3,465229,1,17.465823,1,Hi-Tech City,78.407845,Cyber Homes,29-Oct-20,15675660,Cybercity Marina Skies,Moosapet,4.07,1.666666667,3.966666667
22,1250,1-Dec-21,1,6699,2,2,465229,1,17.465823,1,Hi-Tech City,78.407845,Cyber Homes,29-Oct-20,8373750,Cybercity Marina Skies,Moosapet,4.07,1.666666667,3.966666667
23,1435,0,1,4900,2,2,475628,1,17.526432,1,Nizampet,78.379597,Sri Maruthi Builders & Developers,13-Nov-20,7031500,Maruthi Elite,Nizampet,4.55,1.666666667,3.911111111
24,1795,0,1,4900,3,3,475628,1,17.526432,1,Nizampet,78.379597,Sri Maruthi Builders & Developers,13-Nov-20,8795500,Maruthi Elite,Nizampet,4.55,1.666666667,3.911111111
25,2020,1-Jun-21,1,5000,3,3,133525,1,17.39378,1,Manikonda,78.364544,Ananda Homes,9-Nov-20,10100000,Ananda Urbansdale,,,,
26,2189,1-Dec-23,,4800,,3,105859,0,17.467777,,Tellapur,78.307661,Madhu Infrastructure Private Limited,12-Nov-20,10507200,Madhu Park Ville,Lingampally,4.41,1.555555556,3.7
27,1630,1-Mar-21,,5200,3,3,890691,0,17.388869,,Manikonda,78.37102,Anuhar Homes,10-Nov-20,8476000,Anuhar Art Of Living,Manikonda,4.75,1.444444444,3.855555556
28,2223,1-Dec-22,,4300,3,3,1049366,1,17.544516,1,Bachupally,78.373527,Risinia Builders,24-Oct-20,9558900,Risinia Skyon,Miyapur,4.68,1.777777778,4.022222222
29,1509,1-Dec-23,,4800,,2,105859,0,17.467777,,Tellapur,78.307661,Madhu Infrastructure Private Limited,24-Oct-20,7243200,Madhu Park Ville,Lingampally,4.41,1.555555556,3.7
30,2435,1-Jul-25,,7762,3,3,1010285,0,17.407369,,Shaikpet,78.388221,SRI ADITYA HOMES PRIVATE LIMITED,21-Oct-20,19029525,Aditya Athena,Manikonda,4.75,1.444444444,3.855555556
31,1500,1-Jul-23,,3599,3,3,1048001,1,17.562656,1,Bahadurpally,78.419092,Praneeth Developers,12-Nov-20,5398500,Praneeth Pranav Flora,Suraram,2.95,1.555555556,3.877777778
32,1352,1-Jul-23,,3599,2,2,1048001,1,17.562656,1,Bahadurpally,78.419092,Praneeth Developers,15-Nov-20,4865848,Praneeth Pranav Flora,Suraram,2.95,1.555555556,3.877777778
33,1356,1-May-22,,4597,2,2,1009988,0,17.547081,,Bachupally,78.374564,Praneeth Developers,24-Oct-20,6236244,Praneeth Pranav Townsquare,Miyapur,4.68,1.777777778,4.022222222
34,1655,1-May-22,,4599,3,3,1009988,0,17.547081,,Bachupally,78.374564,Praneeth Developers,15-Nov-20,7611345,Praneeth Pranav Townsquare,Miyapur,4.68,1.777777778,4.022222222
