,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1481,0,2,5739,2,3,62119,,22.558549,,Tangra,88.378919,Prime Realtors,17-Nov-20,8500000,PS Palm Spring,Entally,4.88,1.666666667,4.1
1,971,0,1,3850,2,2,487765,1,22.430811,1,Narendrapur,88.403605,Realmark Oracle Project LLP,17-Nov-20,3738350,Realmark Oracle,Narendra Pur,3.8,1.333333333,3.944444444
2,2062,0,2,8490,4,4,183405,1,22.573977,1,Narkeldanga,88.398249,Prasad Group,29-Oct-20,17500000,Prasad Rare Earth,Kankurgachi,4.88,2.888888889,4.111111111
3,1340,0,1,8508,3,3,183405,1,22.573977,1,Narkeldanga,88.398249,Prasad Group,29-Oct-20,11400000,Prasad Rare Earth,Kankurgachi,4.88,2.888888889,4.111111111
4,1419,1-Dec-22,2,4600,2,3,349053,1,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,23-Oct-20,6527400,Realtech Nirman Hijibiji,New Town,4.03,3,3.9
5,929,1-May-23,1,9911,3,3,778780,1,22.582182,1,New Town,88.487992,PS Group Realty Ltd,16-Sep-20,9139502,PS Amistad,New Town,4.03,3,3.9
6,2060,0,1,4050,3,4,78720,0,22.670682,,B T Road,88.376096,Dhoot Realtors,13-Aug-20,8343000,Dhoot Pratham,Belghoria,4.37,1.666666667,3.855555556
7,1048,0,1,2200,2,3,6158,1,22.7358049,1,Barasat,88.4616753,Larica Estates Ltd.,13-Nov-20,2305600,Larica Township,Barasat,4.27,1.444444444,3.955555556
8,1073,1-Jan-25,,5363,2,2,1048210,1,22.567551,1,New Town,88.463143,Ashish Goyal,23-Oct-20,5754499,Purti Veda,,,,
9,1741,1-Jan-25,,5363,3,3,1048210,1,22.567551,1,New Town,88.463143,Ashish Goyal,23-Oct-20,9336983,Purti Veda,,,,
10,1125,1-Sep-20,2,4000,2,2,38419,1,22.699432,1,Sodepur,88.375397,G M Group,12-Nov-20,4500000,GM Meena Icon,,,,
11,646,0,1,2200,2,2,6158,1,22.7358049,1,Barasat,88.4616753,Larica Estates Ltd.,13-Nov-20,1421200,Larica Township,Barasat,4.27,1.444444444,3.955555556
12,1445,1-Sep-20,1,4000,2,3,38419,1,22.699432,1,Sodepur,88.375397,G M Group,26-Sep-20,5780000,GM Meena Icon,,,,
13,563,0,,2200,,1,6158,0,22.7358049,,Barasat,88.4616753,Larica Estates Ltd.,13-Nov-20,1238600,Larica Township,Barasat,4.27,1.444444444,3.955555556
14,900,1-Dec-22,1,4600,2,2,349053,1,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,23-Oct-20,4140000,Realtech Nirman Hijibiji,New Town,4.03,3,3.9
15,1327,1-Mar-25,,5500,3,3,1013689,1,22.5867856,1,New Town,88.4939735,Realtech Nirman Pvt Ltd,2-Nov-20,7298500,Realtech Nirman Curiocity Classic,New Town,4.03,3,3.9
16,862,1-Mar-25,2,5500,2,2,1013689,1,22.5867856,,New Town,88.4939735,Realtech Nirman Pvt Ltd,12-Nov-20,4741000,Realtech Nirman Curiocity Classic,New Town,4.03,3,3.9
17,958,1-Dec-22,1,3100,2,3,547367,1,22.592255,1,Rajarhat,88.508835,Realtech Nirman Pvt Ltd,2-Nov-20,2969800,Realtech Rajotto,New Town,4.03,3,3.9
18,795,1-Jun-22,,4000,2,2,1014154,0,22.504206,,Kaikhali,88.287499,G M Group,12-Nov-20,3180000,GM Meena Flora,Behala,4.73,1.666666667,4.133333333
19,956,1-Sep-23,,4800,2,2,244843,1,22.57676,1,Mohisbathan,88.442903,G M Group,12-Nov-20,4588800,GM Meena Orchid,"Sector 5, Salt Lake",4.96,3.111111111,4.355555556
20,1168,1-Sep-23,,9985,,3,898713,0,22.507324,,New Alipore,88.324521,Merlin Projects Limited,2-Nov-20,11700000,Merlin Pristine,,,,
21,1226,1-Jun-22,,4000,3,3,1014154,0,22.504206,,Kaikhali,88.287499,G M Group,2-Nov-20,4904000,GM Meena Flora,Behala,4.73,1.666666667,4.133333333
22,1411,1-Jul-24,,3350,2,3,198617,0,22.399735,,Rajpur,88.41598,Salarpuria Group,7-Oct-20,4726850,Suncrest Estate,,,,
