,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1115,1-Jun-21,,16056,3,3,761415,0,19.22581,,Balkum,72.994172,Corazon Homes,16-Nov-20,16970300,Dosti West County,"Majiwada, Thane West",4.97,2.555555556,4.144444444
1,711,1-Dec-22,,18182,2,2,501857,1,19.226362,1,Thane West,72.982513,Corazon Homes,16-Nov-20,11930580,Kalpataru Paramount,"Majiwada, Thane West",4.97,2.555555556,4.144444444
2,4640,0,,47413,5,5,54554,0,19.152345,,Andheri (West),72.833089,Windsor Realty Private Limited,4-Nov-20,220000000,Windsor Grande Residences,,,,
3,697.13,1-Feb-26,,5522,,2,1015263,0,18.792135,,Khopoli,73.328149,Unimont Realty Pvt. Ltd,23-Oct-20,3850000,Unimont Imperia,,,,
4,488.34,1-Feb-26,,5200,,1,1015263,0,18.792135,,Khopoli,73.328149,Unimont Realty Pvt. Ltd,23-Oct-20,2450000,Unimont Imperia,,,,
5,617.84786,1-Jun-23,,18685,,2,1050175,0,19.130017,,Kanjur Marg (East),72.932701,Runwal Group,6-Nov-20,11400000,Runwal Avenue,,,,
6,3050,0,,50000,4,4,54554,1,19.152345,1,Andheri (West),72.833089,Windsor Realty Private Limited,4-Nov-20,152500000,Windsor Grande Residences,,,,
7,400,1-Jun-23,,20750,,1,1050175,0,19.130017,,Kanjur Marg (East),72.932701,Runwal Group,6-Nov-20,8300000,Runwal Avenue,,,,
8,504,1-Dec-20,,12694,2,2,493189,0,18.877103,,Uran,72.937823,Greenscape Kalpana Struct con,18-Sep-20,6500000,Horizon Estate,Alibaug,2.2,2,3.84
9,289.656549,1-Jul-23,,13965,1,1,1014522,1,18.868708,1,Dronagiri,72.962995,Kalpana Struct-Con,18-Sep-20,3500000,Kalpana Astrova,Alibaug,2.2,2,3.84
10,738,1-Mar-23,,14233,,2,554995,0,19.184668,,Airoli,72.993743,Pyramid Infratech Co.,27-Oct-20,10499526,Pyramid Elements,,,,
11,465,1-Mar-23,,16862,,1,554995,0,19.184668,,Airoli,72.993743,Pyramid Infratech Co.,27-Oct-20,7799910,Pyramid Elements,,,,
12,1449.89733,1-Dec-21,,45132,,3,528229,0,19.034195,,Mahim (West),72.84216,Jewel Villas & Developers LLP,16-Nov-20,65200000,Jewel Crest,Mahim,5,1.888888889,4.366666667
13,837,1-Dec-20,,13217,2,2,6898,0,19.001781,,New Panvel,73.133907,VISHESH GROUP,16-Nov-20,11000000,Balaji Symphony,,,,
14,686,0,,13400,2,2,6898,0,19.001781,,New Panvel,73.133907,VISHESH GROUP,5-Nov-20,9300000,Balaji Symphony,,,,
15,314.413519,1-Jun-22,,13713,,1,753352,0,18.876438,,Dronagiri,72.960478,Kalpana Struct-Con,18-Sep-20,4300000,Kalpana Nestor,,,,
16,439.6,1-Jun-22,,15514,2,2,753352,1,18.876438,1,Dronagiri,72.960478,Kalpana Struct-Con,18-Sep-20,6300000,Kalpana Nestor,,,,
17,931,0,,12889,3,3,6898,1,19.001781,1,New Panvel,73.133907,VISHESH GROUP,5-Nov-20,12000000,Balaji Symphony,,,,
18,816,1-Dec-20,,13235,3,3,6898,0,19.001781,,New Panvel,73.133907,VISHESH GROUP,5-Nov-20,10800000,Balaji Symphony,,,,
19,454,1-Jun-24,,20264,1,1,765535,1,19.176683,1,Goregaon (East),72.86466,IM Buildcon Pvt. Ltd.,13-Nov-20,9199856,Applaud 38,,,,
20,760,1-Jun-24,,20397,2,2,765535,1,19.176683,1,Goregaon (East),72.86466,IM Buildcon Pvt. Ltd.,12-Nov-20,15500000,Applaud 38,,,,
21,798,1-Jun-21,,22135,2,2,48362,0,19.249118,,Dahisar (East),72.864357,N Rose Developers,29-Sep-20,17600000,Northern Heights,,,,
22,1106,1-Jun-21,,21790,3,3,48362,0,19.249118,,Dahisar (East),72.864357,N Rose Developers,29-Sep-20,24100000,Northern Heights,,,,
23,1462,1-Dec-24,1,23939,5,3,759374,1,19.20658,1,Kandivali (West),72.832745,Dimple Realtors Pvt Ltd,24-Oct-20,35000000,73 East,,,,
24,836,1-Dec-24,1,24058,3,2,759374,1,19.20658,1,Kandivali (West),72.832745,Dimple Realtors Pvt Ltd,13-Nov-20,20000000,73 East,,,,
25,900,1-Dec-24,,39697,3,3,750595,0,19.126324,,DN Nagar,72.832478,Platinum Corp,28-Oct-20,35600000,Platinum Life,Azad Nagar,4.96,3.111111111,4.277777778
26,1020,0,,17058,3,3,210419,1,19.201033,1,Thane West,72.960122,DEV LAND AND HOUSING (DLH),7-Nov-20,17400000,Dev Ashoka,,,,
27,665,1-Dec-24,,40000,2,2,750595,0,19.126324,,DN Nagar,72.832478,Platinum Corp,28-Oct-20,26600000,Platinum Life,Azad Nagar,4.96,3.111111111,4.277777778
28,826,0,,17287,2,2,210419,1,19.201033,1,Thane West,72.960122,DEV LAND AND HOUSING (DLH),7-Nov-20,14300000,Dev Ashoka,,,,
29,743,1-Oct-23,,34664,,2,500695,1,18.945458,1,Fort,72.834557,Green Stone,5-Nov-20,25622000,Greenstone Heritage,Mumbai CST Area,5,2,4.177777778
30,412.687926,1-Dec-23,,0,,2,789225,0,19.297981,,Mira Bhayandar,72.869236,Star Developers,11-Nov-20,0,Star Hibiscus Heights,,,,
31,285.24335,1-Dec-23,,0,,1,789225,0,19.297981,,Mira Bhayandar,72.869236,Star Developers,11-Nov-20,0,Star Hibiscus Heights,,,,
32,670,0,,27471,2,2,282691,1,19.151065,1,Goregaon (West),72.848623,NICCO,13-Oct-20,18400000,Saanvi Heights,Goregaon West,3.03,1.888888889,3.744444444
33,400.847636,1-Dec-26,,10702,1,1,1048359,0,19.227822,,thakurli,73.098097,SS Life Spaces,22-Oct-20,4290000,SS Balaji Krishna,Dombivali East,4.93,1.555555556,3.822222222
34,670,0,,18656,3,3,35234,0,19.262543,,Dahisar (East),72.871407,S K Heights Private Limited,30-Jul-20,12300000,SK Imperial Heights,,,,
35,552.510987,1-Dec-26,,10841,2,2,1048359,0,19.227822,,thakurli,73.098097,SS Life Spaces,22-Oct-20,5990000,SS Balaji Krishna,Dombivali East,4.93,1.555555556,3.822222222
36,576,0,,18675,,2,35234,0,19.262543,,Dahisar (East),72.871407,S K Heights Private Limited,30-Jul-20,10756800,SK Imperial Heights,,,,
37,477,1-Oct-21,,19601,,1,534879,0,19.155462,,Mulund (East),72.975415,NICCO,22-Sep-20,9350000,Aishwarya Heights,,,,
38,1150,0,2,23913,2,2,44802,,19.003513,,Sewri,72.85488,,13-Nov-20,27500000,Monarch Gardens,,,,
39,855,0,,34853,3,3,1012015,1,19.057274,1,Chembur (East),72.890607,Veekay Infra,17-Oct-20,29800000,Veekay Avanna,,,,
40,711,1-Oct-21,,19446,,2,534879,0,19.155462,,Mulund (East),72.975415,NICCO,22-Sep-20,13800000,Aishwarya Heights,,,,
41,915,1-Jun-25,,4200,,2,842906,0,19.407205,,Vasai East,72.846792,Shantee Swarg,24-Oct-20,3843000,Shantee Sterling Heights,Vasai,4.93,2,4.1
42,890,1-Jun-25,,4200,,2,842906,0,19.407205,,Vasai East,72.846792,Shantee Swarg,24-Oct-20,3699793,Shantee Sterling Heights,Vasai,4.93,2,4.1
43,1123,1-Jun-22,,19326,3,3,805769,1,19.223747,,Dhokali,72.985359,Risland India,18-Sep-20,22500000,The Icon by Risland,,,,
44,775,1-Jun-22,,17278,2,2,805769,1,19.223747,,Dhokali,72.985359,Risland India,18-Sep-20,13390450,The Icon by Risland,,,,
45,600,1-Jun-25,,4200,,1,842906,0,19.407205,,Vasai East,72.846792,Shantee Swarg,24-Oct-20,2520000,Shantee Sterling Heights,Vasai,4.93,2,4.1
46,940,0,,27765,,3,527119,0,19.130559,,Andheri (West),72.83809,NICCO,13-Nov-20,26100000,NICCO Shrey Apartment,Azad Nagar,5,3.111111111,4.311111111
47,1111,1-Nov-21,,22009,,3,760258,0,19.0779,,Ghatkopar West,72.908196,Sai Everest Builders and Developers,16-Oct-20,27300000,Sai Everest Garden View,,,,
48,635,1-Jun-24,,12913,2,2,1015927,0,19.038804,,Roadpali,73.097126,Proviso Builders,20-Oct-20,8200000,Sai Proviso Icon,,,,
49,454,1-Jun-24,,12775,2,1,1015927,0,19.038804,,Roadpali,73.097126,Proviso Builders,20-Oct-20,5800000,Sai Proviso Icon,,,,
50,475,1-Dec-22,,12526,1,1,1003129,0,19.041176,,Roadpali,73.093474,Proviso Builders,19-Oct-20,5950000,Sai Proviso Sapphire,,,,
51,650,1-Dec-22,,12384,,2,1003129,0,19.041176,,Roadpali,73.093474,Proviso Builders,19-Oct-20,8050000,Sai Proviso Sapphire,,,,
52,801,1-Nov-21,,24577,,2,760258,0,19.0779,,Ghatkopar West,72.908196,Sai Everest Builders and Developers,9-Oct-20,19700000,Sai Everest Garden View,,,,
53,547,1-Nov-21,,24664,,1,760258,0,19.0779,,Ghatkopar West,72.908196,Sai Everest Builders and Developers,9-Oct-20,13500000,Sai Everest Garden View,,,,
