,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1620,0,3,7099,2,3,6990,,28.597496,,sector-121 Noida,77.391224,Property Planets,17-Nov-20,11500000,ABA Cleo County,Sector 71,4.6,1.555555556,3.844444444
1,2700,0,4,8149,5,4,35932,,28.575566,,Sector-75 Noida,77.381676,Parx Buildwell,17-Nov-20,22000000,Dasnac The Jewel of Noida,Sector 72,4.93,1.777777778,4
2,1775,1-Sep-24,,3200,,3,1046170,0,28.53445,,Sector-16 Gr Noida,77.409045,SKA Group,23-Oct-20,5680000,SKA Divya Towers,Sector 110,4.36,1.777777778,3.477777778
3,3150,0,2,7231,6,4,40444,1,28.511198,1,Sector-109 Gurgaon,77.003165,Chintels India Ltd,4-Nov-20,22800000,Chintels Paradiso,New Palam Vihar,3.06,1.333333333,3.688888889
4,5130,0,,4500,5,5,32643,0,28.429864,,Sector Chi 5 Gr Noida,77.507899,Purvanchal Projects Pvt Ltd,11-Sep-20,23085000,Purvanchal Royal City,Chi 4,2.55,1.444444444,1.588888889
5,3210,0,4,4500,5,4,32643,1,28.429864,1,Sector Chi 5 Gr Noida,77.507899,Purvanchal Projects Pvt Ltd,11-Sep-20,14445000,Purvanchal Royal City,Chi 4,2.55,1.444444444,1.588888889
6,2075,0,,4500,3,3,32643,0,28.429864,,Sector Chi 5 Gr Noida,77.507899,Purvanchal Projects Pvt Ltd,11-Sep-20,9337500,Purvanchal Royal City,Chi 4,2.55,1.444444444,1.588888889
7,3500,0,,12000,,4,19160,0,28.666421,,Moti Nagar,77.151852,Aggarwal Real Estate Pvt Ltd,20-Oct-20,40250000,DLF Capital Greens,Karampura,5,2.666666667,4.111111111
8,2100,1-Dec-23,3,7281,4,3,50006,1,28.514331,1,Sector-109 Gurgaon,77.004551,Chintels India Ltd,22-Oct-20,15290100,Chintels Serenity,Palam Vihar,3.06,1.333333333,3.688888889
9,2925,0,2,7829,5,4,50006,1,28.514331,1,Sector-109 Gurgaon,77.004551,Chintels India Ltd,22-Oct-20,22600000,Chintels Serenity,Palam Vihar,3.06,1.333333333,3.688888889
10,2375,0,5,7844,4,3,50006,1,28.514331,1,Sector-109 Gurgaon,77.004551,Chintels India Ltd,22-Oct-20,18600000,Chintels Serenity,Palam Vihar,3.06,1.333333333,3.688888889
11,1418,0,,11416,2,2,19160,0,28.666421,,Moti Nagar,77.151852,Aggarwal Real Estate Pvt Ltd,20-Oct-20,14820000,DLF Capital Greens,Karampura,5,2.666666667,4.111111111
12,1931,0,5,5748,4,3,9478,1,28.469269,1,Sector-102 Gurgaon,76.971396,Conscient Infrastructure Private Limited,10-Nov-20,11099388,Conscient Heritage Max,Sector 37,4.59,1.555555556,3.977777778
13,1765,0,4,3000,2,3,59496,1,28.701463,1,Raj Nagar Extension,77.428257,MILAN INFRASTRUCTURES AND DEVELOPERS PRIVATE,27-Oct-20,5295000,Milan Earth,Raj Nagar,4.23,2,3.866666667
14,1095,0,2,3000,2,2,59496,1,28.701463,1,Raj Nagar Extension,77.428257,MILAN INFRASTRUCTURES AND DEVELOPERS PRIVATE,27-Oct-20,3285000,Milan Earth,Raj Nagar,4.23,2,3.866666667
15,1342,0,2,4800,2,2,6326,1,28.383485,1,Sector-77 Gurgaon,76.979604,Umang Realtech Pvt. Ltd.,13-Nov-20,6441600,Umang Winter Hills,Sector 83,4.65,2.111111111,3.888888889
16,2077,0,4,4800,4,3,6326,1,28.383485,1,Sector-77 Gurgaon,76.979604,Umang Realtech Pvt. Ltd.,13-Nov-20,9969600,Umang Winter Hills,Sector 83,4.65,2.111111111,3.888888889
17,5092,0,,4515,,4,13580,0,28.405628,,Sector-91 Gurgaon,76.926043,Vision Realtech,14-Oct-20,21798852,Anant Raj Maceo,Sector 83,4.65,2.111111111,3.888888889
18,4241,0,,6107,3,3,13580,0,28.405628,,Sector-91 Gurgaon,76.926043,Vision Realtech,14-Oct-20,15941919,Anant Raj Maceo,Sector 83,4.65,2.111111111,3.888888889
19,1404,0,4,6107,2,2,13580,1,28.405628,1,Sector-91 Gurgaon,76.926043,Vision Realtech,14-Oct-20,6082128,Anant Raj Maceo,Sector 83,4.65,2.111111111,3.888888889
20,890,1-Dec-24,,13309,,2,1031366,0,28.42324,,Sector-150 Noida,77.4868,Parx Buildwell,11-Sep-20,11569110,Antara Noida,Chi 4,2.55,1.444444444,1.588888889
21,3975,1-Mar-22,4,10063,6,4,52988,1,28.504246,1,Sector-22 Gurgaon,77.068649,Constro Property Solutions,16-Oct-20,30607500,Ambience Creacions,Sector 22,4.83,2.777777778,4.311111111
22,4583,1-Mar-22,4,9889,5,3,52988,1,28.504246,1,Sector-22 Gurgaon,77.068649,Constro Property Solutions,11-Nov-20,40408311,Ambience Creacions,Sector 22,4.83,2.777777778,4.311111111
23,2570,1-Dec-23,,13000,,4,895588,0,28.547185,,Sector-107 Noida,77.375894,Parx Buildwell,10-Sep-20,33410000,County 107,Sector 47,4,1.666666667,3.533333333
24,1412,0,2,3966,3,3,259675,1,28.5763853,1,Noida Extension,77.4360052,Stellar Spring Projects Pvt Ltd,3-Nov-20,5365600,Stellar One,Amrapali Leisure Valley,4.93,1.777777778,4
25,1175,0,1,22978,2,2,226685,,28.55231,,Greater Kailash I,77.233712,,8-May-20,27000000,Kailash Apartments,Greater Kailash 1 (GK1),5,3,4.233333333
26,5236,1-Apr-21,,15221,,5,348391,0,28.657834,,Karol Bagh,77.194715,Unity Group,16-Oct-20,79700000,Unity The Amaryllis,Karol Bagh,4.97,2.444444444,4.188888889
27,1478,1-Mar-22,,5453,2,2,896232,0,28.449663,,Sector-68 Gurgaon,77.041433,Aryan Realty Infratech,8-Nov-20,8055100,M3M Natura,Sector 31,5,2.444444444,4.266666667
28,1132,0,3,3680,2,2,259675,1,28.5763853,1,Noida Extension,77.4360052,Stellar Spring Projects Pvt Ltd,17-Nov-20,4175948,Stellar One,Amrapali Leisure Valley,4.93,1.777777778,4
