,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,919.990533,1-Jun-22,,6966,,3,32318,0,18.467265,,Hadapsar,73.934779,Corazon Homes,17-Nov-20,6408702,ARV Royale,Hadapsar,4.81,1.888888889,3.911111111
1,941,1-Dec-21,,5744,,3,799025,0,18.676427,,Chikhali,73.8117,Pruthvi Developers,17-Nov-20,5403000,Pruthvi Misty Greens,Chinchwad,4.5,2.777777778,4.055555556
2,623,1-Jun-23,,8507,2,2,776996,0,18.542816,,Wadgaon Sheri,73.927736,Kumar Properties,16-Oct-20,5300000,Kumar Palaash,Wadgaon Sheri,4.99,2.444444444,4.322222222
3,738,1-Dec-26,,7500,,2,1048457,0,18.655851,,Ravet,73.737225,URBAN SPACE CREATORS,17-Nov-20,5519218,Urban Skyline,Ravet,4.36,2.111111111,3.988888889
4,628.61176,1-Dec-20,,11467,2,2,186235,0,18.664255,,Moshi,73.83882,Kasturi Housing,19-Sep-20,0,Kasturi Apostrophe,Bhosari,4.33,2.111111111,3.977777778
5,693,1-Dec-23,,6525,,2,1046000,0,18.624057,,Tathawade,73.741686,Shree Sonigara Punamiya Associates,17-Nov-20,4520780,Vivanta,Hinjawadi,4.95,2.777777778,4.111111111
6,741.5,1-Dec-23,,9096,,2,786454,0,18.465097,,NIBM,73.907952,Royal contructions Combine India Pvt. Ltd.,5-Nov-20,6745323,Royal Palms,NIBM Road,4.93,2.222222222,4.055555556
7,772.525103,1-Dec-20,,0,3,3,186235,0,18.664255,,Moshi,73.83882,Kasturi Housing,19-Sep-20,0,Kasturi Apostrophe,Bhosari,4.33,2.111111111,3.977777778
8,377.27,1-Jun-22,1,7714,1,1,802550,1,18.588512,1,Wagholi,74.009025,Kolte-Patil Developers Ltd,27-Oct-20,2910448,Kolte Patil Ivy Nia,Wagholi,4.16,1.777777778,3.9
9,601.056176,1-Aug-22,,10874,,2,1011331,0,18.598699,,Hinjewadi,73.72611,Kolte-Patil Developers Ltd,13-Nov-20,6536000,Kolte Patil Life republic R3,Hinjawadi,4.95,2.777777778,4.111111111
10,1748.18,1-Mar-22,,13613,,4,838152,0,18.508162,,Bavdhan,73.762584,Kolte-Patil Developers Ltd,27-Oct-20,16500000,Kolte Patil 24K Stargaze,Bavdhan,4.82,2.222222222,4
11,1553.64,1-Mar-22,,13965,,3,838152,0,18.508162,,Bavdhan,73.762584,Kolte-Patil Developers Ltd,27-Oct-20,14000000,Kolte Patil 24K Stargaze,Bavdhan,4.82,2.222222222,4
12,520.86,1-Jun-22,2,7476,2,2,802550,1,18.588512,1,Wagholi,74.009025,Kolte-Patil Developers Ltd,27-Oct-20,3894268,Kolte Patil Ivy Nia,Wagholi,4.16,1.777777778,3.9
13,421.94488,1-Aug-22,,8411,1,1,1011331,0,18.598699,,Hinjewadi,73.72611,Kolte-Patil Developers Ltd,13-Nov-20,3549000,Kolte Patil Life republic R3,Hinjawadi,4.95,2.777777778,4.111111111
14,962,0,1,0,2,2,234315,1,20.0160649,1,Chikhali,75.79176,Silver Group,13-Nov-20,0,Silver City,Jalna Locality,3.32,1.222222222,3.944444444
15,677,0,,0,1,1,234315,1,20.0160649,1,Chikhali,75.79176,Silver Group,13-Nov-20,0,Silver City,Jalna Locality,3.32,1.222222222,3.944444444
16,1075.86,1-Dec-23,,10410,3,3,1031532,1,18.540596,1,Kharadi,73.936676,Goel Ganga Developments,4-Nov-20,10221100,Ganga Serio,Kharadi,5,2.333333333,4.044444444
17,807.08,1-Dec-23,,10214,2,2,1031532,1,18.540596,1,Kharadi,73.936676,Goel Ganga Developments,4-Nov-20,8044983,Ganga Serio,Kharadi,5,2.333333333,4.044444444
18,1431.06,1-Jan-25,,18941,4,4,41266,0,18.605131,,Wakad,73.75663,Kasturi Housing,22-Sep-20,27111726,Kasturi Epitome,Wakad,5,3.111111111,4.4
19,688.56,0,,10601,,2,37586,0,18.664048,,Moshi,73.843538,Kasturi Housing,19-Sep-20,7300000,Kasturi Voyage,Bhosari,4.33,2.111111111,3.977777778
20,839,1-Dec-23,,8031,,2,296231,0,18.474786,,Mohamadwadi,73.910116,Karandikar Life Spaces,13-Nov-20,6740526,Elina Living,Kondhwa,4.93,2.222222222,4.055555556
21,839,1-Dec-22,,8031,,2,296231,0,18.474786,,Mohamadwadi,73.910116,Karandikar Life Spaces,13-Nov-20,6740526,Elina Living,Kondhwa,4.93,2.222222222,4.055555556
22,1068,1-Jun-22,,13611,3,3,173967,0,18.505203,,Kothrud,73.806397,Parth Developers,23-Oct-20,14473900,Parth Saarrthi Srushti,Kothrud,4.96,2.444444444,4.177777778
23,839,1-Jun-22,,13772,2,2,173967,0,18.505203,,Kothrud,73.806397,Parth Developers,23-Oct-20,11550542,Parth Saarrthi Srushti,Kothrud,4.96,2.444444444,4.177777778
24,606.00757,1-Jun-23,2,11340,2,2,1032587,1,18.551311,1,Baner,73.778234,Athang Spaces LLP,13-Aug-20,6874464,Rachana Eternia,Baner,5,3,4.277777778
25,727,0,,9636,2,2,477434,1,18.57752,1,Balewadi,73.756421,Pristine properties,2-Nov-20,6100000,Equilife Homes,Hinjawadi,4.95,2.777777778,4.111111111
26,935,1-Jun-23,,8913,2,2,23150,0,18.579268,,Phase-3 Hinjewadi ,73.688758,Kasturi Housing,22-Sep-20,8500000,Kasturi Eon Homes,Hinjawadi,4.95,2.777777778,4.111111111
27,737,1-Mar-23,,7299,,2,1046611,0,18.658397,,Ravet,73.736507,ARKO REALTY,15-Oct-20,4900000,Star Vista,Ravet,4.36,2.111111111,3.988888889
28,935,1-Dec-20,,8913,2,2,23150,0,18.579268,,Phase-3 Hinjewadi ,73.688758,Kasturi Housing,27-Oct-20,8500000,Kasturi Eon Homes,Hinjawadi,4.95,2.777777778,4.111111111
29,764,1-Jun-25,,7322,2,2,1034520,1,18.61121,1,Marunji,73.716357,Pride and Purple Group,4-Nov-20,5400000,Park Astra,Hinjawadi,4.95,2.777777778,4.111111111
30,764,1-Dec-21,,7041,2,2,774052,0,18.61597,,Lohegaon,73.906482,Unique Group & Choice Group,3-Nov-20,5380000,Goodwill Unique Zest County,Lohegaon,4.06,1.111111111,3.155555556
31,1013,1-Oct-23,,7893,,3,1035768,0,18.653993,,Ravet,73.732578,MGM ASSOCIATES,12-Nov-20,7976814,Space 64 Meridien,Dehu Road,4.36,2.111111111,3.988888889
32,690,1-Sep-21,,7536,2,2,505635,0,18.659006,,Ravet,73.754024,SHREE DHARMARAJ DEVELOPERS,28-Oct-20,5200000,Raajlaxmi Greens,Ravet,4.36,2.111111111,3.988888889
33,404.507362,0,,14832,,2,57320,0,18.441118,,Katraj Kondhwa Road,73.883265,Kolte-Patil Developers Ltd,27-Oct-20,5999804,Kolte Patil Three Jewels,Kondhwa,4.96,2.111111111,4.066666667
34,538.195,0,,6688,2,2,35539,1,18.735865,1,Talegaon Dabhade,73.654662,Mas Creations,10-Oct-20,3600000,Mas Mahavirs Natura,Talegaon,0,0,0
35,1017,1-Jun-25,,7238,3,3,1034520,1,18.61121,1,Marunji,73.716357,Pride and Purple Group,4-Nov-20,7264431,Park Astra,Hinjawadi,4.95,2.777777778,4.111111111
36,515,1-Jun-23,,9581,1,1,1021417,0,18.521671,,Mundhwa,73.901225,Ranade Realtors LLP,17-Nov-20,4934500,Ranade Mayank,B.T. Kawade Road,3.88,1.666666667,3.677777778
37,889,1-Jun-23,,9590,2,2,1021417,0,18.521671,,Mundhwa,73.901225,Ranade Realtors LLP,17-Nov-20,8520000,Ranade Mayank,B.T. Kawade Road,3.88,1.666666667,3.677777778
38,941,1-Dec-21,,5744,,3,799025,0,18.676427,,Chikhali,73.8117,Pruthvi Developers,17-Nov-20,5403000,Pruthvi Misty Greens,Chinchwad,4.5,2.777777778,4.055555556
