,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,540.4,"Jun 01, 2022",,4493,1.0,1.0,375508,0.0,12.883255,,Kengeri Hobli,77.473653,Individual Consultant,"Nov 15, 2020",2430000.0,VBHC Palmhaven 2,Mysore Road,0.92,1.1428571428571428,2.442857142857143
1,1859.0,"Jun 01, 2022",,4545,,3.0,502909,0.0,12.885115,,Kanakpura Road,77.562072,Maangalya Group,"Nov 15, 2020",8449155.0,Maangalya Park Avenue,Kanakapura Road,4.43,1.6666666666666667,3.777777777777777
2,1271.0,"Apr 01, 2021",,5489,3,3.0,11582,0.0,13.096476,,Hennur Road,77.647831,Kolte-Patil Developers Ltd,"Oct 27, 2020",6977475.0,Kolte Patil Raaga,Jakkur,5.0,2.2222222222222223,4.144444444444444
3,938.0,"Apr 01, 2021",,5603,2,2.0,11582,0.0,13.096476,,Hennur Road,77.647831,Kolte-Patil Developers Ltd,"Oct 27, 2020",5255865.0,Kolte Patil Raaga,Jakkur,5.0,2.2222222222222223,4.144444444444444
4,1904.0,0,2,6271,3,3.0,45096,1.0,13.083073,1,Hennur Road,77.654397,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",11940904.0,Salarpuria Sattva Aspire,Hennur,4.71,1.5555555555555556,3.822222222222223
5,1607.0,0,2,4221,3,3.0,413931,1.0,12.90565,1,Kengeri,77.47755,Uniworth Finvest Pvt Ltd,"Nov 15, 2020",6783147.0,Uniworth Serenity,Kengeri,4.7,1.6666666666666667,3.933333333333333
6,1343.43,"Dec 01, 2020",1,8117,2,2.0,803121,1.0,12.934122,1,Kadubeesanahalli,77.698826,Amsha Ventures,"Nov 12, 2020",10901131.0,Bhuvi by Amsha,Marathahalli,5.0,2.5555555555555554,4.022222222222222
7,1734.86,"Dec 01, 2020",1,8117,3,3.0,803121,1.0,12.934122,1,Kadubeesanahalli,77.698826,Amsha Ventures,"Oct 13, 2020",14082995.0,Bhuvi by Amsha,Marathahalli,5.0,2.5555555555555554,4.022222222222222
8,1240.0,"Dec 01, 2020",,5273,,2.0,478156,0.0,12.8672,,Hosa Road,77.690363,T G Developers,"Nov 02, 2020",6501600.0,TG Ascent,Electronic City,4.32,1.7777777777777777,4.011111111111111
9,1578.0,"Dec 01, 2020",,5171,,3.0,478156,0.0,12.8672,,Hosa Road,77.690363,T G Developers,"Nov 02, 2020",8116395.0,TG Ascent,Electronic City,4.32,1.7777777777777777,4.011111111111111
10,2387.0,0,,14209,,3.0,40548,0.0,12.995517,,Frazer Town,77.610564,Prestige Group,"Nov 15, 2020",33918000.0,Prestige Spencer Heights,Frazer Town,5.0,2.0,4.222222222222222
11,944.0,"Dec 01, 2021",1,5854,2,2.0,793710,1.0,13.083176,1,Thanisandra,77.619418,Provident Housing Ltd,"Nov 02, 2020",5527120.0,Provident Toogoodhomes,Jakkur,4.13,1.5555555555555556,3.866666666666667
12,1691.0,"Jul 01, 2023",2,5677,3,3.0,379993,1.0,12.84959,1,Electronic City,77.67008,Kolte-Patil Developers Ltd,"Oct 29, 2020",8005194.0,Kolte Patil I Towers Exente,Electronic City,4.32,1.7777777777777777,4.011111111111111
13,1233.0,"Jul 01, 2023",1,5839,2,2.0,379993,1.0,12.84959,1,Electronic City,77.67008,Kolte-Patil Developers Ltd,"Oct 29, 2020",7200000.0,Kolte Patil I Towers Exente,Electronic City,4.32,1.7777777777777777,4.011111111111111
14,2848.0,"Sep 01, 2023",,11409,,3.0,1047891,0.0,12.980894,,CV Raman Nagar,77.662696,Prestige Group,"Nov 15, 2020",32328000.0,Prestige Rapperswil,CV Raman Nagar,4.28,1.8888888888888888,3.822222222222222
15,4465.0,0,5,14787,5,4.0,6556,1.0,13.01762,1,Malleshwaram,77.558076,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",67023525.0,Salarpuria Sattva Luxuria,Yeshwantpur,4.37,2.2222222222222223,4.133333333333334
16,4075.0,0,,10242,4,4.0,46280,0.0,12.996184,,Old Madras Road,77.669383,Salarpuria Properties Pvt Ltd,"Nov 02, 2020",40495500.0,Salarpuria Sattva Magnificia,KR Puram,4.44,1.2222222222222223,3.8666666666666663
17,2475.0,0,3,14682,4,3.0,6556,1.0,13.01762,1,Malleshwaram,77.558076,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",36562875.0,Salarpuria Sattva Luxuria,Yeshwantpur,4.37,2.2222222222222223,4.133333333333334
18,1246.0,"Jun 01, 2021",1,6800,2,2.0,498603,1.0,13.043871,1,Tumkur Road,77.508548,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",8472693.0,Salarpuria Sattva Opus,Jalahalli,4.2,1.4444444444444444,3.9444444444444446
19,1165.0,"Sep 01, 2021",2,3777,2,2.0,1016772,1.0,12.932805,1,Varthur,77.748813,HOMESQ.ARE,"Nov 12, 2020",4400205.0,Sohan Fortune,"Varthur Main Road, Whitefield",3.37,1.4444444444444444,3.644444444444444
20,2425.0,0,,9488,3,3.0,46280,0.0,12.996184,,Old Madras Road,77.669383,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",22969500.0,Salarpuria Sattva Magnificia,KR Puram,4.44,1.2222222222222223,3.8666666666666663
21,1073.0,"Feb 01, 2021",1,6523,2,2.0,451139,1.0,12.873694,1,JP Nagar,77.564066,VAISHNAVI INFRASTRUCTURE PVT LTD,"Nov 13, 2020",6932653.0,Vaishnavi Oasis,Kanakapura Road,4.43,1.6666666666666667,3.777777777777777
22,1586.0,"Jun 01, 2021",1,6722,3,3.0,498603,1.0,13.043871,1,Tumkur Road,77.508548,Salarpuria Properties Pvt Ltd,"Sep 21, 2020",10623751.0,Salarpuria Sattva Opus,Jalahalli,4.2,1.4444444444444444,3.9444444444444446
23,1775.0,0,,8420,,3.0,406724,0.0,13.053021,,Hebbal,77.597271,VAISHNAVI INFRASTRUCTURE PVT LTD,"Nov 13, 2020",14879825.0,Vaishnavi North 24,Hebbal,4.7,2.4444444444444446,4.022222222222222
24,1531.0,"Feb 01, 2021",,6663,3,3.0,451139,1.0,12.873694,1,JP Nagar,77.564066,VAISHNAVI INFRASTRUCTURE PVT LTD,"Nov 13, 2020",10002023.0,Vaishnavi Oasis,Kanakapura Road,4.43,1.6666666666666667,3.777777777777777
25,711.46,0,1,9137,2,2.0,114795,1.0,13.060728,1,Tumkur Road,77.507676,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",6501072.0,Salarpuria Sattva Laurel Heights,Jalahalli,4.2,1.4444444444444444,3.9444444444444446
26,1022.75,0,1,7325,3,3.0,114795,1.0,13.060728,1,Tumkur Road,77.507676,Salarpuria Properties Pvt Ltd,"Sep 21, 2020",7955840.0,Salarpuria Sattva Laurel Heights,Jalahalli,4.2,1.4444444444444444,3.9444444444444446
27,2460.0,0,,9724,3,3.0,39730,0.0,12.911179,,JP Nagar,77.57268,SNN Builders,"Oct 27, 2020",23914800.0,SNN Raj Spiritua,JP Nagar,5.0,3.0,4.355555555555555
28,1626.0,"Sep 01, 2025",1,5278,3,3.0,1042031,1.0,13.0861557,1,Yelahanka New Town,77.5528449,Arvind Smartspaces Limited,"Oct 22, 2020",8170000.0,Arvind Bel Air,Yelahanka,4.2,1.4444444444444444,3.9444444444444446
29,3340.0,0,,9620,,4.0,39730,1.0,12.911179,,JP Nagar,77.57268,SNN Builders,"Sep 04, 2020",32127840.0,SNN Raj Spiritua,JP Nagar,5.0,3.0,4.355555555555555
30,658.0,"Mar 01, 2022",1,5957,1,1.0,468979,1.0,13.241892,1,Devanahalli,77.721003,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",3920172.0,Salarpuria Sattva Park Cubix,International Airport,0.79,2.111111111111111,2.533333333333333
31,1264.0,0,2,6252,1,2.0,145599,1.0,13.04384,,Old Madras Road,77.747955,Salarpuria Properties Pvt Ltd,"Nov 15, 2020",7868015.0,Salarpuria Sattva East Crest,KR Puram,4.44,1.2222222222222223,3.8666666666666663
32,1647.0,"Mar 01, 2023",,4700,3,3.0,768923,0.0,13.046642,,Tumkur Road,77.502508,Arvind Smartspaces Limited,"Oct 23, 2020",7740000.0,Arvind Oasis,Jalahalli,4.2,1.4444444444444444,3.9444444444444446
33,2674.0,"Mar 01, 2021",1,4435,3,3.0,161808,1.0,13.081197,1,Thanisandra,77.635217,DS-MAX Properties Pvt Ltd,"Oct 21, 2020",12300000.0,DS MAX Skycity,Jakkur,4.13,1.5555555555555556,3.866666666666667
34,640.0,"Dec 01, 2022",1,7067,1,1.0,798517,1.0,13.12432,1,Yelahanka,77.566718,VAISHNAVI INFRASTRUCTURE PVT LTD,"Nov 13, 2020",4453760.0,Vaishnavi Serene,Yelahanka,1.5,1.0,3.2
35,1933.0,0,,7709,3,3.0,311057,0.0,12.940322,,Mysore Road,77.525206,Salarpuria Properties Pvt Ltd,"Sep 21, 2020",14834921.0,Salarpuria Sattva Divinity,Rajarajeshwari Nagar,4.76,2.0,4.055555555555555
36,1784.0,"Nov 01, 2023",,7133,,3.0,902337,0.0,13.121644,,Yelahanka,77.619543,Salarpuria Properties Pvt Ltd,"Sep 21, 2020",12680168.0,Salarpuria Sattva Exotic,Yelahanka,1.5,1.0,3.2
37,1484.0,0,1,5599,3,3.0,456605,1.0,13.089239,1,Jakkur,77.601399,Arvind Smartspaces Limited,"Oct 24, 2020",8310000.0,Arvind Skylands,Yelahanka,1.5,1.0,3.2
