,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1115.0,"Jun 01, 2021",,16056,3.0,3.0,761415,0.0,19.22581,,Balkum,72.994172,Corazon Homes,"Nov 16, 2020",16970300.0,Dosti West County,"Majiwada, Thane West",4.97,2.5555555555555554,4.144444444444445
1,711.0,"Dec 01, 2022",,18182,2.0,2.0,501857,1.0,19.226362,1,Thane West,72.982513,Corazon Homes,"Nov 16, 2020",11930580.0,Kalpataru Paramount,"Majiwada, Thane West",4.97,2.5555555555555554,4.144444444444445
2,4640.0,0,,47413,5.0,5.0,54554,0.0,19.152345,,Andheri (West),72.833089,Windsor Realty Private Limited,"Nov 04, 2020",220000000.0,Windsor Grande Residences,,,,
3,697.13,"Feb 01, 2026",,5522,,2.0,1015263,0.0,18.792135,,Khopoli,73.328149,Unimont Realty Pvt. Ltd,"Oct 23, 2020",3850000.0,Unimont Imperia,,,,
4,488.34,"Feb 01, 2026",,5200,,1.0,1015263,0.0,18.792135,,Khopoli,73.328149,Unimont Realty Pvt. Ltd,"Oct 23, 2020",2450000.0,Unimont Imperia,,,,
5,617.84786,"Jun 01, 2023",,18685,,2.0,1050175,0.0,19.130017,,Kanjur Marg (East),72.932701,Runwal Group,"Nov 06, 2020",11400000.0,Runwal Avenue,,,,
6,3050.0,0,,50000,4,4.0,54554,1.0,19.152345,1,Andheri (West),72.833089,Windsor Realty Private Limited,"Nov 04, 2020",152500000.0,Windsor Grande Residences,,,,
7,400.0,"Jun 01, 2023",,20750,,1.0,1050175,0.0,19.130017,,Kanjur Marg (East),72.932701,Runwal Group,"Nov 06, 2020",8300000.0,Runwal Avenue,,,,
8,504.0,"Dec 01, 2020",,12694,2,2.0,493189,0.0,18.877103,,Uran,72.937823,Greenscape Kalpana Struct con,"Sep 18, 2020",6500000.0,Horizon Estate,Alibaug,2.2,2.0,3.8400000000000007
9,289.656549,"Jul 01, 2023",,13965,1,1.0,1014522,1.0,18.868708,1,Dronagiri,72.962995,Kalpana Struct-Con,"Sep 18, 2020",3500000.0,Kalpana Astrova,Alibaug,2.2,2.0,3.8400000000000007
10,738.0,"Mar 01, 2023",,14233,,2.0,554995,0.0,19.184668,,Airoli,72.993743,Pyramid Infratech Co.,"Oct 27, 2020",10499526.0,Pyramid Elements,,,,
11,465.0,"Mar 01, 2023",,16862,,1.0,554995,0.0,19.184668,,Airoli,72.993743,Pyramid Infratech Co.,"Oct 27, 2020",7799910.0,Pyramid Elements,,,,
12,1449.8973299999998,"Dec 01, 2021",,45132,,3.0,528229,0.0,19.034195,,Mahim (West),72.84216,Jewel Villas & Developers LLP,"Nov 16, 2020",65200000.0,Jewel Crest,Mahim,5.0,1.8888888888888888,4.366666666666666
13,837.0,"Dec 01, 2020",,13217,2,2.0,6898,0.0,19.001781,,New Panvel,73.133907,VISHESH GROUP,"Nov 16, 2020",11000000.0,Balaji Symphony,,,,
14,686.0,0,,13400,2,2.0,6898,0.0,19.001781,,New Panvel,73.133907,VISHESH GROUP,"Nov 05, 2020",9300000.0,Balaji Symphony,,,,
15,314.413519,"Jun 01, 2022",,13713,,1.0,753352,0.0,18.876438,,Dronagiri,72.960478,Kalpana Struct-Con,"Sep 18, 2020",4300000.0,Kalpana Nestor,,,,
16,439.6,"Jun 01, 2022",,15514,2,2.0,753352,1.0,18.876438,1,Dronagiri,72.960478,Kalpana Struct-Con,"Sep 18, 2020",6300000.0,Kalpana Nestor,,,,
17,931.0,0,,12889,3,3.0,6898,1.0,19.001781,1,New Panvel,73.133907,VISHESH GROUP,"Nov 05, 2020",12000000.0,Balaji Symphony,,,,
18,816.0,"Dec 01, 2020",,13235,3,3.0,6898,0.0,19.001781,,New Panvel,73.133907,VISHESH GROUP,"Nov 05, 2020",10800000.0,Balaji Symphony,,,,
19,454.0,"Jun 01, 2024",,20264,1,1.0,765535,1.0,19.176683,1,Goregaon (East),72.86466,IM Buildcon Pvt. Ltd.,"Nov 13, 2020",9199856.0,Applaud 38,,,,
