,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1620,0,3,7099,2,3,6990,,28.597496,,sector-121 Noida,77.391224,Property Planets,"Nov 17, 2020",11500000,ABA Cleo County,Sector 71,4.6,1.5555555555555556,3.8444444444444437
1,2700,0,4,8149,5,4,35932,,28.575566,,Sector-75 Noida,77.381676,Parx Buildwell,"Nov 17, 2020",22000000,Dasnac The Jewel of Noida,Sector 72,4.93,1.7777777777777777,4.0
2,1775.0,"Sep 01, 2024",,3200,,3.0,1046170,0,28.53445,,Sector-16 Gr Noida,77.409045,SKA Group,"Oct 23, 2020",5680000.0,SKA Divya Towers,Sector 110,4.36,1.7777777777777777,3.477777777777778
3,3150.0,0,2,7231,6,4.0,40444,1,28.511198,1,Sector-109 Gurgaon,77.003165,Chintels India Ltd,"Nov 04, 2020",22800000.0,Chintels Paradiso,New Palam Vihar,3.06,1.3333333333333333,3.688888888888888
4,5130.0,0,,4500,5,5.0,32643,0,28.429864,,Sector Chi 5 Gr Noida,77.507899,Purvanchal Projects Pvt Ltd,"Sep 11, 2020",23085000.0,Purvanchal Royal City,Chi 4,2.55,1.4444444444444444,1.5888888888888888
5,3210.0,0,4,4500,5,4.0,32643,1,28.429864,1,Sector Chi 5 Gr Noida,77.507899,Purvanchal Projects Pvt Ltd,"Sep 11, 2020",14445000.0,Purvanchal Royal City,Chi 4,2.55,1.4444444444444444,1.5888888888888888
6,2075.0,0,,4500,3,3.0,32643,0,28.429864,,Sector Chi 5 Gr Noida,77.507899,Purvanchal Projects Pvt Ltd,"Sep 11, 2020",9337500.0,Purvanchal Royal City,Chi 4,2.55,1.4444444444444444,1.5888888888888888
7,3500.0,0,,12000,,4.0,19160,0,28.666421,,Moti Nagar,77.151852,Aggarwal Real Estate Pvt Ltd,"Oct 20, 2020",40250000.0,DLF Capital Greens,Karampura,5.0,2.6666666666666665,4.111111111111111
8,2100.0,"Dec 01, 2023",3,7281,4,3.0,50006,1,28.514331,1,Sector-109 Gurgaon,77.004551,Chintels India Ltd,"Oct 22, 2020",15290100.0,Chintels Serenity,Palam Vihar,3.06,1.3333333333333333,3.688888888888888
9,2925.0,0,2,7829,5,4.0,50006,1,28.514331,1,Sector-109 Gurgaon,77.004551,Chintels India Ltd,"Oct 22, 2020",22600000.0,Chintels Serenity,Palam Vihar,3.06,1.3333333333333333,3.688888888888888
10,2375.0,0,5,7844,4,3.0,50006,1,28.514331,1,Sector-109 Gurgaon,77.004551,Chintels India Ltd,"Oct 22, 2020",18600000.0,Chintels Serenity,Palam Vihar,3.06,1.3333333333333333,3.688888888888888
11,1418.0,0,,11416,2,2.0,19160,0,28.666421,,Moti Nagar,77.151852,Aggarwal Real Estate Pvt Ltd,"Oct 20, 2020",14820000.0,DLF Capital Greens,Karampura,5.0,2.6666666666666665,4.111111111111111
12,1931.0,0,5,5748,4,3.0,9478,1,28.469269,1,Sector-102 Gurgaon,76.971396,Conscient Infrastructure Private Limited,"Nov 10, 2020",11099388.0,Conscient Heritage Max,Sector 37,4.59,1.5555555555555556,3.9777777777777774
13,1765.0,0,4,3000,2,3.0,59496,1,28.701463,1,Raj Nagar Extension,77.428257,MILAN INFRASTRUCTURES AND DEVELOPERS PRIVATE,"Oct 27, 2020",5295000.0,Milan Earth,Raj Nagar,4.23,2.0,3.8666666666666663
14,1095.0,0,2,3000,2,2.0,59496,1,28.701463,1,Raj Nagar Extension,77.428257,MILAN INFRASTRUCTURES AND DEVELOPERS PRIVATE,"Oct 27, 2020",3285000.0,Milan Earth,Raj Nagar,4.23,2.0,3.8666666666666663
15,1342.0,0,2,4800,2,2.0,6326,1,28.383485,1,Sector-77 Gurgaon,76.979604,Umang Realtech Pvt. Ltd.,"Nov 13, 2020",6441600.0,Umang Winter Hills,Sector 83,4.65,2.111111111111111,3.888888888888889
16,2077.0,0,4,4800,4,3.0,6326,1,28.383485,1,Sector-77 Gurgaon,76.979604,Umang Realtech Pvt. Ltd.,"Nov 13, 2020",9969600.0,Umang Winter Hills,Sector 83,4.65,2.111111111111111,3.888888888888889
17,5092.0,0,,4515,,4.0,13580,0,28.405628,,Sector-91 Gurgaon,76.926043,Vision Realtech,"Oct 14, 2020",21798852.0,Anant Raj Maceo,Sector 83,4.65,2.111111111111111,3.888888888888889
