,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,919.9905329999999,"Jun 01, 2022",,6966,,3.0,32318,0.0,18.467265,,Hadapsar,73.934779,Corazon Homes,"Nov 17, 2020",6408702.0,ARV Royale,Hadapsar,4.81,1.8888888888888888,3.9111111111111105
1,941.0,"Dec 01, 2021",,5744,,3.0,799025,0.0,18.676427,,Chikhali,73.8117,Pruthvi Developers,"Nov 17, 2020",5403000.0,Pruthvi Misty Greens,Chinchwad,4.5,2.7777777777777777,4.055555555555555
2,623.0,"Jun 01, 2023",,8507,2,2.0,776996,0.0,18.542816,,Wadgaon Sheri,73.927736,Kumar Properties,"Oct 16, 2020",5300000.0,Kumar Palaash,Wadgaon Sheri,4.99,2.4444444444444446,4.322222222222222
3,738.0,"Dec 01, 2026",,7500,,2.0,1048457,0.0,18.655851,,Ravet,73.737225,URBAN SPACE CREATORS,"Nov 17, 2020",5519218.0,Urban Skyline,Ravet,4.36,2.111111111111111,3.988888888888889
4,628.61176,"Dec 01, 2020",,11467,2,2.0,186235,0.0,18.664255,,Moshi,73.83882,Kasturi Housing,"Sep 19, 2020",0.0,Kasturi Apostrophe,Bhosari,4.33,2.111111111111111,3.9777777777777783
5,693.0,"Dec 01, 2023",,6525,,2.0,1046000,0.0,18.624057,,Tathawade,73.741686,Shree Sonigara Punamiya Associates,"Nov 17, 2020",4520780.0,Vivanta,Hinjawadi,4.95,2.7777777777777777,4.111111111111111
6,741.5,"Dec 01, 2023",,9096,,2.0,786454,0.0,18.465097,,NIBM,73.907952,Royal contructions Combine India Pvt. Ltd.,"Nov 05, 2020",6745323.0,Royal Palms,NIBM Road,4.93,2.2222222222222223,4.055555555555555
7,772.525103,"Dec 01, 2020",,0,3,3.0,186235,0.0,18.664255,,Moshi,73.83882,Kasturi Housing,"Sep 19, 2020",0.0,Kasturi Apostrophe,Bhosari,4.33,2.111111111111111,3.9777777777777783
8,377.27,"Jun 01, 2022",1,7714,1,1.0,802550,1.0,18.588512,1,Wagholi,74.009025,Kolte-Patil Developers Ltd,"Oct 27, 2020",2910448.0,Kolte Patil Ivy Nia,Wagholi,4.16,1.7777777777777777,3.8999999999999995
9,601.056176,"Aug 01, 2022",,10874,,2.0,1011331,0.0,18.598699,,Hinjewadi,73.72611,Kolte-Patil Developers Ltd,"Nov 13, 2020",6536000.0,Kolte Patil Life republic R3,Hinjawadi,4.95,2.7777777777777777,4.111111111111111
