,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
0,1149.0,0,1.0,3079,2.0,2.0,264927,1.0,22.6827073,1.0,Madhyamgram,88.4660928,Master Properties Pvt. Ltd.,"Nov 09, 2020",3537771.0,Master Orchard Estate,Barasat,4.27,1.4444444444444444,3.855555555555556
1,885.0,"Dec 01, 2020",1.0,3467,2.0,2.0,61496,1.0,22.436876,1.0,Garia,88.375041,Pioneer Property Management Ltd,"Nov 09, 2020",2982450.0,Prudent Prana,Garia,3.73,1.3333333333333333,3.933333333333334
2,2062.0,0,2.0,8490,4.0,4.0,183405,1.0,22.573977,1.0,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",17500000.0,Prasad Rare Earth,Kankurgachi,4.87,2.888888888888889,4.133333333333334
3,1340.0,0,1.0,8508,3.0,3.0,183405,1.0,22.573977,1.0,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",11400000.0,Prasad Rare Earth,Kankurgachi,4.87,2.888888888888889,4.133333333333334
4,1419.0,"Dec 01, 2022",2.0,4600,2.0,3.0,349053,1.0,22.588327,1.0,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",6527400.0,Realtech Nirman Hijibiji,New Town,4.0,2.888888888888889,3.855555555555556
5,900.0,"Dec 01, 2022",1.0,4600,2.0,2.0,349053,1.0,22.588327,1.0,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",4140000.0,Realtech Nirman Hijibiji,New Town,4.0,2.888888888888889,3.855555555555556
6,929.0,"May 01, 2023",1.0,9911,3.0,3.0,778780,1.0,22.582182,1.0,New Town,88.487992,PS Group Realty Ltd,"Sep 16, 2020",9139502.0,PS Amistad,New Town,4.0,2.888888888888889,3.855555555555556
7,2060.0,0,1.0,4050,3.0,4.0,78720,0.0,22.670682,,B T Road,88.376096,Dhoot Realtors,"Aug 13, 2020",8343000.0,Dhoot Pratham,Belghoria,4.4,1.6666666666666667,3.8666666666666663
8,958.0,"Dec 01, 2022",1.0,3100,2.0,3.0,547367,1.0,22.592255,1,Rajarhat,88.508835,Realtech Nirman Pvt Ltd,"Nov 02, 2020",2969800.0,Realtech Rajotto,New Town,4.0,2.888888888888889,3.855555555555556
9,1073.0,"Jan 01, 2025",,5363,2.0,2.0,1048210,1.0,22.567551,1,New Town,88.463143,Ashish Goyal,"Oct 23, 2020",5311350.0,Purti Veda,New Town,4.0,2.888888888888889,3.855555555555556
10,1741.0,"Jan 01, 2025",,5363,3.0,3.0,1048210,1.0,22.567551,1,New Town,88.463143,Ashish Goyal,"Oct 23, 2020",8617950.0,Purti Veda,New Town,4.0,2.888888888888889,3.855555555555556
11,1445.0,"Sep 01, 2020",1,4000,2.0,3.0,38419,1.0,22.699432,1,Sodepur,88.375397,G M Group,"Sep 26, 2020",5780000.0,GM Meena Icon,Sodepur,4.43,1.4444444444444444,4.122222222222222
12,1125.0,"Sep 01, 2020",2,4000,2.0,2.0,38419,1.0,22.699432,1,Sodepur,88.375397,G M Group,"Nov 09, 2020",4500000.0,GM Meena Icon,Sodepur,4.43,1.4444444444444444,4.122222222222222
13,1327.0,"Mar 01, 2025",,5500,3.0,3.0,1013689,1.0,22.5867856,1,New Town,88.4939735,Realtech Nirman Pvt Ltd,"Nov 02, 2020",7298500.0,Realtech Nirman Curiocity Classic,New Town,4.0,2.888888888888889,3.855555555555556
14,862.0,"Mar 01, 2025",2,5500,2.0,2.0,1013689,1.0,22.5867856,,New Town,88.4939735,Realtech Nirman Pvt Ltd,"Nov 09, 2020",4741000.0,Realtech Nirman Curiocity Classic,New Town,4.0,2.888888888888889,3.855555555555556
15,1226.0,"Jun 01, 2022",,4000,3.0,3.0,1014154,0.0,22.504206,,Kaikhali,88.287499,G M Group,"Nov 02, 2020",4904000.0,GM Meena Flora,Behala,4.75,1.6666666666666667,4.133333333333333
16,795.0,"Jun 01, 2022",,4000,2.0,2.0,1014154,0.0,22.504206,,Kaikhali,88.287499,G M Group,"Nov 09, 2020",3180000.0,GM Meena Flora,Behala,4.75,1.6666666666666667,4.133333333333333
17,1199.0,"Sep 01, 2023",,4800,3.0,3.0,244843,1.0,22.57676,1,Mohisbathan,88.442903,G M Group,"Sep 26, 2020",5755200.0,GM Meena Orchid,"Sector 5, Salt Lake",4.96,3.111111111111111,4.300000000000001
18,956.0,"Sep 01, 2023",,4800,2.0,2.0,244843,1.0,22.57676,1,Mohisbathan,88.442903,G M Group,"Nov 09, 2020",4588800.0,GM Meena Orchid,"Sector 5, Salt Lake",4.96,3.111111111111111,4.300000000000001
19,867.0,"Jun 01, 2022",,10068,,2.0,506591,0.0,22.489545,,Tollygunge,88.336865,Merlin Projects Limited,"Nov 09, 2020",8400000.0,Merlin The One,Behala,4.84,2.0,4.222222222222221
20,1168.0,"Sep 01, 2023",,9985,,3.0,898713,0.0,22.507324,,New Alipore,88.324521,Merlin Projects Limited,"Nov 02, 2020",11700000.0,Merlin Pristine,Behala,4.75,1.6666666666666667,4.133333333333333
21,1411.0,"Jul 01, 2024",,3350,2,3.0,198617,0.0,22.399735,,Rajpur,88.41598,Salarpuria Group,"Oct 07, 2020",4656300.0,Suncrest Estate,Narendra Pur,3.73,1.3333333333333333,3.933333333333334
22,1047.0,"Jul 01, 2024",,3350,,2.0,198617,0.0,22.399735,,Rajpur,88.41598,Salarpuria Group,"Nov 09, 2020",3507450.0,Suncrest Estate,Narendra Pur,3.73,1.3333333333333333,3.933333333333334
23,1148.0,"Jun 01, 2023",,8350,3,3.0,1014114,0.0,22.563462,,Beliaghata,88.392106,Eden Group,"Nov 09, 2020",9700600.0,Bella Vista,Beliaghata,4.72,3.6666666666666665,4.288888888888888
24,959.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 09, 2020",6760950.0,Eden The Forest,Dum Dum,4.12,1.4444444444444444,3.744444444444445
25,1027.0,"Dec 01, 2023",,7050,,3.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Oct 27, 2020",7240350.0,Eden The Forest,Dum Dum,4.12,1.4444444444444444,3.744444444444445
26,1569.0,0,1,5600,2,4.0,45548,1.0,22.6227423,1,Dum Dum Metro,88.3894699,Padmalaya Projects LLP,"Aug 13, 2020",8786400.0,Padmalaya Apartments,Sinthi,4.12,1.4444444444444444,3.744444444444445
27,639.0,"Jun 01, 2021",,5100,,2.0,292045,0.0,22.641998,,Rajarhat,88.466071,Aspira Loharuka Developers,"Sep 11, 2020",3258900.0,Freshia,Chinar Park,4.0,2.888888888888889,3.855555555555556
28,1424.0,0,1,8809,3,3.0,279597,1.0,22.5594263,1,Tangra,88.3736539,Merlin Projects Limited,"Nov 09, 2020",12500000.0,Merlin Regalia,Park Circus Area,4.87,1.6666666666666667,4.133333333333334
29,2033.0,"Dec 01, 2025",,8601,4,4.0,1044432,1.0,22.583168,1,Salt Lake,88.411678,Merlin Projects Limited,"Oct 06, 2020",17600000.0,Merlin The Fourth,"Sector 3, Salt Lake",4.84,3.0,4.133333333333334
30,1536.0,"Jun 01, 2023",,8593,,4.0,866463,0.0,22.502032,,New Alipore,88.340406,Merlin Projects Limited,"Oct 03, 2020",13200000.0,Merlin Elements,Tollygunge,4.84,2.0,4.222222222222221
31,1273.0,"Jun 01, 2023",,8642,,3.0,866463,0.0,22.502032,,New Alipore,88.340406,Merlin Projects Limited,"Oct 03, 2020",11100000.0,Merlin Elements,Tollygunge,4.84,2.0,4.222222222222221
32,736.0,"Sep 01, 2023",,9613,,2.0,898713,0.0,22.507324,,New Alipore,88.324521,Merlin Projects Limited,"Nov 09, 2020",7075000.0,Merlin Pristine,Behala,4.75,1.6666666666666667,4.133333333333333
33,870.0,"Sep 01, 2020",,5100,2,3.0,292045,1.0,22.641998,1,Rajarhat,88.466071,Aspira Loharuka Developers,"Sep 11, 2020",4437000.0,Freshia,Chinar Park,4.0,2.888888888888889,3.855555555555556
34,1214.0,"Dec 01, 2020",,5499,2,2.0,378747,0.0,22.567405,,New Town,88.517943,Merlin Projects Limited,"Oct 06, 2020",6800000.0,Elita Garden Vista Phase 2,New Town,4.0,2.888888888888889,3.855555555555556
35,1024.0,"Jun 01, 2022",,9090,,3.0,506591,0.0,22.489545,,Tollygunge,88.336865,Merlin Projects Limited,"Nov 09, 2020",9302000.0,Merlin The One,Behala,4.84,2.0,4.222222222222221
36,791.0,"Dec 01, 2021",1,4442,2,3.0,751315,1.0,22.691318,1,Konnagar,88.355817,Merlin Projects Limited,"Oct 19, 2020",3500000.0,Merlin Gangotri,Konnagar,3.77,1.2222222222222223,3.8444444444444437
37,737.0,"Dec 01, 2025",,5921,,2.0,777592,0.0,22.484821,,Behala Chowrasta,88.294591,Merlin Projects Limited,"Oct 03, 2020",4385150.0,Merlin Next,Behala,4.75,1.6666666666666667,4.133333333333333
38,888.0,0,1,6756,2,3.0,80418,1.0,22.556041,1,Howrah,88.311766,Merlin Projects Limited,"Nov 09, 2020",6000000.0,Merlin Waterfront,Shibpur,4.38,2.0,4.088888888888889
39,4527.0,0,,11486,3,3.0,220493,1.0,22.553695,1,Alipore,88.335128,Doshi and Company,"Sep 25, 2020",52000000.0,Keventer Crosswinds,Park Street Area,5.0,3.0,4.333333333333333
40,5359.0,0,,11500,4,4.0,220493,1.0,22.553695,1,Alipore,88.335128,Doshi and Company,"Sep 25, 2020",61628500.0,Keventer Crosswinds,Park Street Area,5.0,3.0,4.333333333333333
41,654.0,0,,9174,4,2.0,279597,1.0,22.5594263,1,Tangra,88.3736539,Merlin Projects Limited,"Nov 02, 2020",6000000.0,Merlin Regalia,Park Circus Area,4.87,1.6666666666666667,4.133333333333334
42,1001.0,"Dec 01, 2025",,5969,,3.0,777592,0.0,22.484821,,Behala Chowrasta,88.294591,Merlin Projects Limited,"Oct 03, 2020",5955950.0,Merlin Next,Behala,4.75,1.6666666666666667,4.133333333333333
43,870.0,"Jun 01, 2021",,5100,2,3.0,292045,1.0,22.641998,1,Rajarhat,88.466071,Aspira Loharuka Developers,"Sep 11, 2020",4437000.0,Freshia,Chinar Park,4.0,2.888888888888889,3.855555555555556
44,639.0,"Sep 01, 2020",,5100,,2.0,292045,0.0,22.641998,,Rajarhat,88.466071,Aspira Loharuka Developers,"Sep 11, 2020",3258900.0,Freshia,Chinar Park,4.0,2.888888888888889,3.855555555555556
45,1190.0,0,,8840,3,3.0,40326,0.0,22.552933,,Entally,88.375386,Merlin Projects Limited,"Nov 09, 2020",10300000.0,Merlin Legacy,Entally,4.72,3.6666666666666665,4.288888888888888
46,523.0,"Apr 01, 2021",,2500,1,1.0,344071,1.0,22.643298,1,Howrah,88.197119,Belmonte Enclave LLP.,"Oct 29, 2020",1307500.0,Belmont Swarna Bhoomi,Kona Exp Way,3.72,1.6666666666666667,3.7333333333333334
47,1742.0,"Dec 01, 2020",1,5497,4,3.0,378747,1.0,22.567405,1,New Town,88.517943,Merlin Projects Limited,"Oct 06, 2020",9100000.0,Elita Garden Vista Phase 2,New Town,4.0,2.888888888888889,3.855555555555556
48,1825.0,"Aug 01, 2025",,9501,4,4.0,1049923,1.0,22.509854,1,New Alipore,88.331069,PS Group Realty Ltd,"Nov 05, 2020",17339325.0,PS Navyom,New Alipore,4.89,1.8888888888888888,4.133333333333334
49,2454.0,"Aug 01, 2025",,9501,5,5.0,1049923,1.0,22.509854,1,New Alipore,88.331069,PS Group Realty Ltd,"Nov 05, 2020",23315454.0,PS Navyom,New Alipore,4.89,1.8888888888888888,4.133333333333334
50,679.0,"Dec 01, 2022",1,3100,2,2.0,547367,1.0,22.592255,1,Rajarhat,88.508835,Realtech Nirman Pvt Ltd,"Nov 09, 2020",2104900.0,Realtech Rajotto,New Town,4.0,2.888888888888889,3.855555555555556
51,973.0,"Apr 01, 2021",1,2500,2,3.0,344071,1.0,22.643298,1,Howrah,88.197119,Belmonte Enclave LLP.,"Oct 29, 2020",2432500.0,Belmont Swarna Bhoomi,Kona Exp Way,3.72,1.6666666666666667,3.7333333333333334
52,836.0,"Apr 01, 2021",1,2500,2,2.0,344071,1.0,22.643298,1,Howrah,88.197119,Belmonte Enclave LLP.,"Nov 09, 2020",2090000.0,Belmont Swarna Bhoomi,Kona Exp Way,3.72,1.6666666666666667,3.7333333333333334
53,1217.0,"Oct 01, 2020",1,2750,2,3.0,411972,0.0,22.404165,1,Rajpur,88.419477,Ixora Realty LLP,"Aug 13, 2020",3346750.0,Riya Manbhari Ananya,Narendra Pur,3.73,1.3333333333333333,3.933333333333334
54,1205.0,0,1,5500,2,2.0,45548,1.0,22.6227423,1,Dum Dum Metro,88.3894699,Padmalaya Projects LLP,"Oct 15, 2020",6627500.0,Padmalaya Apartments,Sinthi,4.12,1.4444444444444444,3.744444444444445
55,3257.0,"Aug 01, 2025",,9501,5,6.0,1049923,1.0,22.509854,1,New Alipore,88.331069,PS Group Realty Ltd,"Nov 05, 2020",30944757.0,PS Navyom,New Alipore,4.89,1.8888888888888888,4.133333333333334
56,1331.0,"Aug 01, 2021",1,3700,2,3.0,410802,1.0,22.638156,1,Kaikhali,88.449703,G M Group,"Sep 01, 2020",4924700.0,GM Meena Paradise,New Town,4.0,2.888888888888889,3.855555555555556
57,921.0,"Dec 01, 2020",,7000,2,2.0,1046772,1.0,22.578114,1,College Street,88.366215,Saket Promoters Ltd,"Sep 09, 2020",6447000.0,Saket Royal,College Street,4.83,1.5555555555555556,4.166666666666666
58,1459.0,"Jun 01, 2023",,7265,,4.0,896062,0.0,22.629836,,Dum Dum,88.414216,Merlin Projects Limited,"Nov 09, 2020",10600000.0,Merlin Urvan,Dum Dum,4.12,1.4444444444444444,3.744444444444445
59,822.0,"Dec 01, 2022",,2400,2,2.0,762574,0.0,22.746763,1,Barasat,88.485751,Magnolia Infrastructure Development LTD,"Nov 07, 2020",1972800.0,Magnolia Fantasia,Barasat,4.27,1.4444444444444444,3.855555555555556
60,722.26,0,,6119,2,2.0,411880,0.0,22.615187,,Howrah,88.28766,Joyville Homes by Shapoorji Pallonji,"Oct 03, 2020",4420000.0,Joyville Howrah By Shapoorji Pallonji,Liluah,4.63,1.2222222222222223,4.0
